time;r_1_1;r_1_2;r_1_3;r_2_1;r_2_2;r_2_3;r_3_1;r_3_2;r_3_3;r_4_1;r_4_2;r_4_3
6.4999961853027344e+00;-2.0436398983001709e+00;1.1409813165664673e+00;0.0000000000000000e+00;-1.1409811973571777e+00;-2.0436398983001709e+00;0.0000000000000000e+00;2.0436398983001709e+00;-1.1409813165664673e+00;0.0000000000000000e+00;1.1409811973571777e+00;2.0436398983001709e+00;0.0000000000000000e+00;
6.5999960899353027e+00;-2.0735204219818115e+00;1.1136806011199951e+00;0.0000000000000000e+00;-1.1136804819107056e+00;-2.0735204219818115e+00;0.0000000000000000e+00;2.0735204219818115e+00;-1.1136806011199951e+00;0.0000000000000000e+00;1.1136804819107056e+00;2.0735204219818115e+00;0.0000000000000000e+00;
6.6999959945678711e+00;-2.1025063991546631e+00;1.0858997106552124e+00;0.0000000000000000e+00;-1.0858995914459229e+00;-2.1025063991546631e+00;0.0000000000000000e+00;2.1025063991546631e+00;-1.0858997106552124e+00;0.0000000000000000e+00;1.0858995914459229e+00;2.1025063991546631e+00;0.0000000000000000e+00;
6.7999958992004395e+00;-2.1306002140045166e+00;1.0576579570770264e+00;0.0000000000000000e+00;-1.0576578378677368e+00;-2.1306002140045166e+00;0.0000000000000000e+00;2.1306002140045166e+00;-1.0576579570770264e+00;0.0000000000000000e+00;1.0576578378677368e+00;2.1306002140045166e+00;0.0000000000000000e+00;
6.8999958038330078e+00;-2.1578037738800049e+00;1.0289744138717651e+00;0.0000000000000000e+00;-1.0289742946624756e+00;-2.1578037738800049e+00;0.0000000000000000e+00;2.1578037738800049e+00;-1.0289744138717651e+00;0.0000000000000000e+00;1.0289741754531860e+00;2.1578037738800049e+00;0.0000000000000000e+00;
6.9999957084655762e+00;-2.1841189861297607e+00;9.9986732006072998e-01;0.0000000000000000e+00;-9.9986720085144043e-01;-2.1841189861297607e+00;0.0000000000000000e+00;2.1841189861297607e+00;-9.9986732006072998e-01;0.0000000000000000e+00;9.9986708164215088e-01;2.1841189861297607e+00;0.0000000000000000e+00;
7.0999956130981445e+00;-2.2095479965209961e+00;9.7035455703735352e-01;0.0000000000000000e+00;-9.7035443782806396e-01;-2.2095479965209961e+00;0.0000000000000000e+00;2.2095479965209961e+00;-9.7035455703735352e-01;0.0000000000000000e+00;9.7035431861877441e-01;2.2095479965209961e+00;0.0000000000000000e+00;
7.1999955177307129e+00;-2.2340929508209229e+00;9.4045358896255493e-01;0.0000000000000000e+00;-9.4045346975326538e-01;-2.2340929508209229e+00;0.0000000000000000e+00;2.2340929508209229e+00;-9.4045358896255493e-01;0.0000000000000000e+00;9.4045335054397583e-01;2.2340929508209229e+00;0.0000000000000000e+00;
7.2999954223632812e+00;-2.2577557563781738e+00;9.1018128395080566e-01;0.0000000000000000e+00;-9.1018116474151611e-01;-2.2577557563781738e+00;0.0000000000000000e+00;2.2577557563781738e+00;-9.1018128395080566e-01;0.0000000000000000e+00;9.1018104553222656e-01;2.2577557563781738e+00;0.0000000000000000e+00;
7.3999953269958496e+00;-2.2805383205413818e+00;8.7955421209335327e-01;0.0000000000000000e+00;-8.7955409288406372e-01;-2.2805383205413818e+00;0.0000000000000000e+00;2.2805383205413818e+00;-8.7955421209335327e-01;0.0000000000000000e+00;8.7955397367477417e-01;2.2805383205413818e+00;0.0000000000000000e+00;
7.4999952316284180e+00;-2.3024425506591797e+00;8.4858846664428711e-01;0.0000000000000000e+00;-8.4858834743499756e-01;-2.3024425506591797e+00;0.0000000000000000e+00;2.3024425506591797e+00;-8.4858846664428711e-01;0.0000000000000000e+00;8.4858822822570801e-01;2.3024425506591797e+00;0.0000000000000000e+00;
7.5999951362609863e+00;-2.3234703540802002e+00;8.1729978322982788e-01;0.0000000000000000e+00;-8.1729966402053833e-01;-2.3234703540802002e+00;0.0000000000000000e+00;2.3234703540802002e+00;-8.1729978322982788e-01;0.0000000000000000e+00;8.1729954481124878e-01;2.3234703540802002e+00;0.0000000000000000e+00;
7.6999950408935547e+00;-2.3436236381530762e+00;7.8570353984832764e-01;0.0000000000000000e+00;-7.8570342063903809e-01;-2.3436236381530762e+00;0.0000000000000000e+00;2.3436236381530762e+00;-7.8570353984832764e-01;0.0000000000000000e+00;7.8570330142974854e-01;2.3436236381530762e+00;0.0000000000000000e+00;
7.7999949455261230e+00;-2.3629043102264404e+00;7.5381475687026978e-01;0.0000000000000000e+00;-7.5381463766098022e-01;-2.3629043102264404e+00;0.0000000000000000e+00;2.3629043102264404e+00;-7.5381475687026978e-01;0.0000000000000000e+00;7.5381451845169067e-01;2.3629043102264404e+00;0.0000000000000000e+00;
7.8999948501586914e+00;-2.3813140392303467e+00;7.2164815664291382e-01;0.0000000000000000e+00;-7.2164803743362427e-01;-2.3813140392303467e+00;0.0000000000000000e+00;2.3813140392303467e+00;-7.2164815664291382e-01;0.0000000000000000e+00;7.2164791822433472e-01;2.3813140392303467e+00;0.0000000000000000e+00;
7.9999947547912598e+00;-2.3988544940948486e+00;6.8921810388565063e-01;0.0000000000000000e+00;-6.8921798467636108e-01;-2.3988544940948486e+00;0.0000000000000000e+00;2.3988544940948486e+00;-6.8921810388565063e-01;0.0000000000000000e+00;6.8921786546707153e-01;2.3988544940948486e+00;0.0000000000000000e+00;
8.0999946594238281e+00;-2.4155271053314209e+00;6.5653884410858154e-01;0.0000000000000000e+00;-6.5653872489929199e-01;-2.4155271053314209e+00;0.0000000000000000e+00;2.4155271053314209e+00;-6.5653884410858154e-01;0.0000000000000000e+00;6.5653854608535767e-01;2.4155271053314209e+00;0.0000000000000000e+00;
8.1999950408935547e+00;-2.4313337802886963e+00;6.2362414598464966e-01;0.0000000000000000e+00;-6.2362402677536011e-01;-2.4313337802886963e+00;0.0000000000000000e+00;2.4313337802886963e+00;-6.2362414598464966e-01;0.0000000000000000e+00;6.2362384796142578e-01;2.4313337802886963e+00;0.0000000000000000e+00;
